simulation,sample_size,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,profit_factor,expectancy,net_profit,largest_win,largest_loss,avg_trade_duration
266,7000,-0.0008525713049975821,-0.0009808826690830756,-0.5093673144421,372,0.3817204301075269,0.6701322356402176,-0.022947083972900885,-8.536315237919126,0.43757099608452665,-0.5866616371322947,13.376344085833335
267,7000,-0.0012666576795336369,-0.0013863760655918602,-0.7023670661945687,364,0.3434065934065934,0.5666060338429546,-0.03482682033418326,-12.676962601642707,0.8214705210240911,-0.9651469129607382,13.708791208611112
268,7000,-0.0010373086605641219,-0.0011757355902860581,-0.5821103979331951,393,0.3816793893129771,0.6413506449131137,-0.026422893233881507,-10.384197040915435,0.6415354561984862,-0.8389123732737789,12.745547073611112
269,7000,-0.001000505245291606,-0.0011822698759833656,-0.574085556266515,374,0.3582887700534759,0.641110701527858,-0.026804178933239477,-10.024762921031563,0.7655850412815415,-0.6979197870162811,14.232620320833332
270,7000,-0.0007467023662504289,-0.0009119382675258796,-0.41314564188081737,359,0.3732590529247911,0.7143251297684498,-0.020830260811556055,-7.4780636313486255,1.044948050409045,-0.45565932559082517,15.091922005555556
271,7000,-0.001104828261896,-0.001215891056649898,-0.6188273631965904,407,0.3783783783783784,0.6410846697782875,-0.027172592965196495,-11.059245336834977,0.5713586926030805,-0.606646506741086,13.488943488888888
272,7000,-0.000842024136490727,-0.001046192958646863,-0.4506134712900014,375,0.432,0.6935990962507601,-0.022483473172100428,-8.43130243953766,0.47143036788082865,-1.0774632493130103,14.818666666666665
273,7000,-0.0012581331051500456,-0.0013524509116570698,-0.7602476200652405,379,0.34564643799472294,0.5551701870319056,-0.033250118903426,-12.601795064398456,0.5052416632937868,-0.7695437504079249,14.279683377222224
274,7000,-0.0012323058914311333,-0.00136630969376569,-0.7021013879807629,391,0.3734015345268542,0.5954281414202276,-0.03154488740031677,-12.334050973523862,0.3358107953599741,-0.8266680290900296,13.462915600833334
275,7000,-0.0012160795192758087,-0.0012821440024058275,-0.6981711627340785,353,0.34277620396600567,0.5679048664826617,-0.03447973547602441,-12.171346623036612,0.9427658756603942,-0.5192955059483223,14.654390934722223
276,7000,-0.0009834659327361806,-0.0010691233974655916,-0.575151634359934,367,0.3678474114441417,0.6456498913477372,-0.02682572811901819,-9.845042219679677,0.7446815735329984,-0.4017326394640404,14.964577656666666
277,7000,-0.0011862599324629628,-0.0013307624875280612,-0.6816308347129209,391,0.35805626598465473,0.6021236439705586,-0.030366098738624996,-11.87314460680237,0.8097818897973472,-0.6445525656721584,14.396419437222223
278,7000,-0.0010519805179574177,-0.0011671865463416075,-0.5917606471885218,393,0.37659033078880405,0.6457143718325178,-0.026819805280426705,-10.540183475207694,0.8511745502556898,-0.5021094528636236,13.160305343333334
279,7000,-0.001069127748167557,-0.0012195977400088615,-0.5958930902710573,376,0.3696808510638298,0.6352780735302587,-0.028461875784747417,-10.701665295065034,0.4586489824646882,-0.8655840808848634,15.082446808333334
280,7000,-0.0012136699180633514,-0.001379467029850639,-0.702260978650039,382,0.3403141361256545,0.5932214549086665,-0.03180067113213646,-12.14785637247613,0.4411732271612735,-0.6345236213783718,14.0942408375
281,7000,-0.0009120588560032047,-0.0010866760232821522,-0.5236540876341111,365,0.3835616438356164,0.6718391610296248,-0.02501853181329304,-9.131764111851961,0.38131180707700424,-0.6892756949555272,15.454794520277778
282,7000,-0.0007422648111039962,-0.0009379837063559813,-0.4096398056592197,363,0.3691460055096419,0.7228685519119595,-0.020478542104281357,-7.433710783854131,0.8828531987267954,-0.4940738765353834,14.898071625277778
283,7000,-0.0008056137849080187,-0.0008789117957976301,-0.45900410286650994,368,0.39402173913043476,0.6973482884680406,-0.021919927126550054,-8.066533182570417,0.8348870972408218,-0.597333560698503,14.584239130277778
284,7000,-0.000934760385757727,-0.0011790585496725787,-0.5123050892392459,361,0.37950138504155123,0.6510163299559875,-0.02592392353843983,-9.358536397376774,0.9405256820332911,-0.873095109180417,15.15512465361111
285,7000,-0.0008268260135273522,-0.000983529122395667,-0.48064884713782463,381,0.4068241469816273,0.6851186192816491,-0.021729102160971063,-8.278787923329972,0.4388546965700714,-0.6314435201412627,14.070866141666668
286,7000,-0.0009203059927991489,-0.0010496480582279663,-0.5253116460492467,371,0.3692722371967655,0.6643145545216543,-0.02483544287605742,-9.213949307017302,0.5926467995381125,-0.49670607840246495,14.973045821944444
287,7000,-0.0011419302983833404,-0.001158724448450782,-0.6263506026483902,370,0.3675675675675676,0.5913593356132774,-0.03089134140575092,-11.429796320127839,0.50253201365102,-1.3510681697647255,13.575675675555557
288,7000,-0.0008093007186764225,-0.0009325451202166732,-0.47660111302810165,375,0.392,0.6959567818155188,-0.02160970476386067,-8.103639286447752,0.49913910615613477,-0.530634419136195,14.650666666666668
289,7000,-0.0011840721587626831,-0.0013404611714429111,-0.6771684560366209,382,0.34554973821989526,0.6108121666042161,-0.030996653370793617,-11.84072158764316,0.9230209428817441,-0.43511765948895403,14.413612565277777
290,7000,-0.0010015010525303296,-0.0010863949477321513,-0.5826523382700531,372,0.3682795698924731,0.638878353600849,-0.026951428532047433,-10.025931413921644,0.7562057425027453,-0.4735064527779809,13.803763440833334
291,7000,-0.0007880565436678808,-0.0009239810912778061,-0.418853116666276,362,0.3812154696132597,0.7035084189925499,-0.021799738665106712,-7.891505396768629,1.2019016870616652,-0.47927119469258916,15.723756905833334
292,7000,-0.0008805968139653487,-0.001048252223619238,-0.5100821432326627,392,0.3852040816326531,0.6861758405058862,-0.02249089929353912,-8.816432523067334,0.3959665102867079,-0.4532187846327678,13.663265306111112
293,7000,-0.0011082527731714436,-0.0012427773580853682,-0.6049901427218307,369,0.3875338753387534,0.6137756437691417,-0.030063933830953106,-11.093591583621695,0.6236371361765516,-1.2782872698542713,15.403794037777779
294,7000,-0.001162085792810649,-0.0012660848766037815,-0.665612708363168,377,0.35543766578249336,0.5914573021439473,-0.030854036252748532,-11.631971667286194,0.8682808537087263,-0.5875834065818452,13.742705570277778
295,7000,-0.0011392193163734191,-0.001295909328288189,-0.6669784361779807,353,0.37110481586402266,0.5819443674875502,-0.032302107366897,-11.402643900514642,0.47181276669406463,-0.6009075033510886,14.784702549444445
296,7000,-0.0008003391408252355,-0.0009759131249666443,-0.4746661545513883,378,0.373015873015873,0.6989062332445191,-0.021226390370117275,-8.02357555990433,0.4782587675973374,-0.5235299171684068,13.698412698333332
297,7000,-0.0009990357383461742,-0.0011587963124002271,-0.5686249623478824,379,0.37994722955145116,0.6536171399691257,-0.026388861303637982,-10.001378434078795,0.7516526889010113,-0.6113726143619039,14.527704485277779
298,7000,-0.0008966418816155055,-0.0010257471865927072,-0.5229572924592729,364,0.36538461538461536,0.6602348129700083,-0.02466296985613916,-8.977321027634655,0.617128917159095,-0.3850869105783187,14.521978021944445
299,7000,-0.0007463369952851281,-0.0009455595027366498,-0.41220845067091905,359,0.3983286908077994,0.7121957589656044,-0.020818985118099653,-7.474015657397775,0.8249649281793017,-1.0140137901111645,14.554317548611111
300,7000,-0.0010665401270771326,-0.0011473283397584965,-0.6199360532153372,382,0.36910994764397903,0.629944255800719,-0.02794735076531981,-10.675887992352163,0.6137379633048002,-0.4548529296029078,14.824607329722223
301,7000,-0.0009572349231781118,-0.0011621155980075103,-0.5457695699310994,363,0.39118457300275483,0.6613617195401749,-0.026400435350548444,-9.583358032249084,0.7097319588400076,-0.6176460106021338,15.542699724444445
302,7000,-0.000847977437357622,-0.0010354087690612433,-0.4908116406886326,388,0.37371134020618557,0.6927187589934751,-0.021882287513703087,-8.490327555316803,0.8527801837800373,-0.3593556386887842,14.051546391666667
303,7000,-0.0007593373196410539,-0.0009745707743669419,-0.4433228797312168,365,0.3863013698630137,0.7027504342952235,-0.020833347281935095,-7.604171757906311,0.740679761615744,-0.3782694318199101,15.298630136944444
304,7000,-0.001327891122681831,-0.001489094023546005,-0.749183309555919,394,0.35786802030456855,0.5696072419075786,-0.03372968617910677,-13.289496354568072,0.6341325322690776,-0.9078713055936622,13.393401015
305,7000,-0.000881371029195543,-0.001083792707544759,-0.5016774189610688,361,0.3878116343490305,0.6728410564472364,-0.02444521693935927,-8.824723315108702,0.40551782647408435,-0.7700565503106399,16.257617728333333
306,7000,-0.000986573943078838,-0.0011947359351863987,-0.5532495060776899,368,0.3451086956521739,0.6388905870045942,-0.02683912839868783,-9.876799250717117,0.6856692098427932,-0.6270822134708198,14.853260869444444
307,7000,-0.0009386858077954457,-0.0010532369973023847,-0.5828517691820422,377,0.3819628647214854,0.6416413805473345,-0.024928277333545135,-9.397960554746518,0.41126320400864236,-0.61092027636421,14.0
308,7000,-0.0011784016423653156,-0.0013115480823809775,-0.6751439937484455,369,0.33875338753387535,0.5916501030568386,-0.0319636122650619,-11.794572925807838,0.7219787018852496,-0.5908479863163051,15.11111111111111
309,7000,-0.0010456951423657302,-0.001256810619833904,-0.5884680903522568,412,0.3713592233009709,0.6561251012339723,-0.02540782379282913,-10.4680234026456,0.7732976521543935,-0.4331892509111963,12.082524271666665
310,7000,-0.0009092551777377594,-0.0011166908787169543,-0.5340493603700817,375,0.36533333333333334,0.6690862212752258,-0.02427620754204972,-9.103577828268648,0.5833337072564361,-0.4022128011940936,14.64
311,7000,-0.0013780116816153169,-0.0015441031168621589,-0.795109992176856,386,0.35751295336787564,0.5479145569210915,-0.03572673681657049,-13.790520411196205,0.6415876748171404,-0.8197462257467278,14.139896373055556
312,7000,-0.0007677934477509552,-0.0009039652063887001,-0.46459496965374486,355,0.38873239436619716,0.6909075020874043,-0.021657486590149787,-7.68840773950317,0.8801675529809867,-0.5603134141146908,15.301408450555554
313,7000,-0.0010373997370750657,-0.0011846729473657973,-0.5684804448458634,408,0.37745098039215685,0.6590651506705383,-0.025452625627978523,-10.384671256215235,0.4704499602023327,-1.1533560375564744,12.622549019444444
